season,event_slug,corps_key,corps_name,caption_key,caption_name,category,score,rank
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,MB,Music - Brass,Music,17.1,1
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,MA,Music - Analysis,Music,16.1,2
2013,2013-alabama-sounds-of-summer,001j000000iwxadaa1,Spirit of Atlanta,MP,Music - Percussion,Music,16.6,2
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,GE1,General Effect 1,GE,15.6,3
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,GE2,General Effect 2,GE,15.1,4
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,VP,Visual Proficiency,Visual,14.3,4
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,VA,Visual Analysis,Visual,14.7,4
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,CG,Color Guard,Visual,14.5,3
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,MB,Music - Brass,Music,15,4
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,MA,Music - Analysis,Music,15.6,3
2013,2013-alabama-sounds-of-summer,001j000000iwxaeaa1,The Academy,MP,Music - Percussion,Music,15.5,3
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,GE1,General Effect 1,GE,16.4,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,GE2,General Effect 2,GE,16.4,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,VP,Visual Proficiency,Visual,16.4,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,VA,Visual Analysis,Visual,16.6,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,CG,Color Guard,Visual,16.3,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,MB,Music - Brass,Music,16.1,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,MA,Music - Analysis,Music,16.4,1
2013,2013-brass-impact,001j000000i6lenaa3,Madison Scouts,MP,Music - Percussion,Music,16.3,1
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,GE1,General Effect 1,GE,16,2
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,GE2,General Effect 2,GE,15.6,2
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,VP,Visual Proficiency,Visual,15.3,2
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,VA,Visual Analysis,Visual,16.1,2
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,CG,Color Guard,Visual,16.1,2
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,MB,Music - Brass,Music,15.3,3
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,MA,Music - Analysis,Music,15.8,3
2013,2013-brass-impact,001j000000iwwsoaal,Blue Knights,MP,Music - Percussion,Music,16,2
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,GE1,General Effect 1,GE,15.2,4
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,GE2,General Effect 2,GE,15.2,3
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,VP,Visual Proficiency,Visual,14.7,3
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,VA,Visual Analysis,Visual,15.5,3
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,CG,Color Guard,Visual,15.6,3
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,MB,Music - Brass,Music,15.8,2
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,MA,Music - Analysis,Music,16,2
2013,2013-brass-impact,001j000000iwwssaal,Boston Crusaders,MP,Music - Percussion,Music,15.7,3
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,GE1,General Effect 1,GE,12.8,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,GE2,General Effect 2,GE,13.2,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,VP,Visual Proficiency,Visual,13,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,VA,Visual Analysis,Visual,12.9,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,CG,Color Guard,Visual,12,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,MB,Music - Brass,Music,12.7,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,MA,Music - Analysis,Music,12.5,6
2013,2013-brass-impact,001j000000iwx93aad,Seattle Cascades,MP,Music - Percussion,Music,12.3,6
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,GE1,General Effect 1,GE,14.2,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,GE2,General Effect 2,GE,15.6,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,VP,Visual Proficiency,Visual,13.6,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,VA,Visual Analysis,Visual,13.3,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,CG,Color Guard,Visual,13.8,1
2013,2013-brass-impact,001j000000iwx97aad,Colt Cadets,MB,Music - Brass,Music,13.8,1
